date,location_key,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_hospitalized_patients,new_intensive_care_patients,new_ventilator_patients,cumulative_hospitalized_patients,cumulative_intensive_care_patients,cumulative_ventilator_patients,current_hospitalized_patients,current_intensive_care_patients,current_ventilator_patients,mobility_transit_stations,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_residential,mobility_workplaces,wikidata_id,datacommons_id,openstreetmap_id,latitude,longitude,location_geometry,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm
1/22/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),-5.314815,-12.228395,5.5,0,30.48
1/23/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),0.080247,-9.41358,9.302469,0,
1/24/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),6.864198,1.277778,11.234568,0.725714,
1/25/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),5.08642,1.759259,11.580247,18.0975,
1/26/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),0.790123,-0.203704,4.746914,1.778,
1/27/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),1.135802,-1.376543,3.018519,0.635,
1/28/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),0.537037,-1.407407,2.91358,0.28575,
1/29/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),-0.265432,-1.407407,1.197531,0.725714,
1/30/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),-0.722222,-3.179012,2.117284,0.108857,
1/31/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),1.91358,-2.080247,6.092593,0.211667,
